"Notes"	"Year"	"Year Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
"Total"	"1997"	"1997"			2511	272776678	0.9
	"1998"	"1998"	"1-4 years"	"1-4"	7	15382114	0.0 (Unreliable)
	"1998"	"1998"	"5-9 years"	"5-9"	4	20510328	0.0 (Unreliable)
	"1998"	"1998"	"10-14 years"	"10-14"	3	19825181	0.0 (Unreliable)
	"1998"	"1998"	"15-19 years"	"15-19"	68	19839732	0.3
	"1998"	"1998"	"20-24 years"	"20-24"	189	18167103	1.0
	"1998"	"1998"	"25-34 years"	"25-34"	578	40756512	1.4
	"1998"	"1998"	"35-44 years"	"35-44"	1174	44748354	2.6
	"1998"	"1998"	"45-54 years"	"45-54"	646	35231857	1.8
	"1998"	"1998"	"55-64 years"	"55-64"	119	23010955	0.5
	"1998"	"1998"	"65-74 years"	"65-74"	29	18570247	0.2
	"1998"	"1998"	"75-84 years"	"75-84"	19	12016377	0.2 (Unreliable)
	"1998"	"1998"	"85+ years"	"85+"	6	4032535	0.1 (Unreliable)
	"1998"	"1998"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
"Total"	"1998"	"1998"			2844	276032848	1.0
"Total"					25083	4961016600	0.5
"---"
"Dataset: Compressed Mortality, 1979-1998"
"Query Parameters:"
"ICD-9 Codes: E850.0 (Opiates and related narcotics); E850.1 (Salicylates); E850.2 (Aromatic analgesics, not elsewhere"
"classified)"
"Group By: Year; Age Group"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Mar 2, 2019 11:45:21 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1979-1998. CDC WONDER On-line Database, compiled from Compressed Mortality File CMF 1968-1988, Series 20, No. 2A, 2000 and CMF"
"1989-1998, Series 20, No. 2E, 2003. Accessed at http://wonder.cdc.gov/cmf-icd9.html on Mar 2, 2019 11:45:21 AM"
"---"
Messages:
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above"
"to show zero rows."
"---"
Caveats:
"1. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Unreliable."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the live births for the"
"given time period. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"3. Population figures in this table for 1979 and 1981-89 are intercensal estimates of the July 1 resident population of the"
"United States. Note that the state and county population estimates for these years are not consistent with national estimates."
"The population figures in this table for 1980 and 1990 are modified age-race-sex (MARS) April 1 census counts. The population"
"figures for 1991-98 are bridged-race intercensal estimates of the July 1 resident population."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
